temp,dwpt,rhum,prcp,wspd,top5_count,manufacturer
31.1,25.2,71.0,0.0,16.6,1,Toyota
23.3,22.3,94.0,0.0,7.6,0,Toyota
31.1,17.8,45.0,0.0,7.6,2,Toyota
20.0,13.2,65.0,0.0,9.4,1,Toyota
21.7,16.0,70.0,0.0,13.0,2,Toyota
25.6,20.6,74.0,0.0,7.6,0,Toyota
26.1,17.7,60.0,0.0,7.6,2,Toyota
30.0,22.7,65.0,0.0,13.0,1,Toyota
15.0,12.9,87.0,0.0,14.8,3,Toyota
37.2,0.5,10.0,0.0,29.5,3,Toyota
23.3,22.3,94.0,0.0,25.9,1,Toyota
24.0,19.9,78.0,0.0,0.0,1,Toyota
7.8,-7.9,32.0,0.0,25.9,2,Toyota
18.0,14.1,78.0,0.0,0.0,3,Toyota
12.2,-2.1,37.0,0.0,16.6,2,Toyota
12.2,7.1,71.0,0.0,0.0,2,Toyota
21.7,11.7,53.0,0.0,24.1,2,Toyota
23.0,5.9,33.0,0.0,7.6,1,Toyota
23.8,18.0,70.0,0.0,14.8,2,Toyota
21.7,16.0,70.0,0.0,13.0,3,Toyota
9.0,7.9,93.0,0.0,7.6,0,Toyota
19.1,6.9,45.0,0.0,25.9,1,Toyota
18.0,-0.8,28.0,0.0,0.0,1,Toyota
26.1,-3.5,14.0,0.0,14.8,2,Toyota
8.3,-3.3,44.0,0.0,0.0,2,Toyota
10.6,0.0,48.0,0.0,37.1,2,Toyota
18.3,17.8,97.0,0.5,0.0,0,Toyota
23.3,5.2,31.0,0.0,11.2,0,Toyota
6.1,-3.8,49.0,0.0,14.8,3,Toyota
15.6,3.4,44.0,0.0,9.4,1,Toyota
32.0,17.9,43.0,0.0,9.4,3,Toyota
20.6,14.9,70.0,0.0,13.0,3,Toyota
20.0,20.0,100.0,1.5,11.2,3,Toyota
31.0,6.8,22.0,0.0,24.1,2,Toyota
25.5,19.9,71.0,0.0,7.6,3,Toyota
24.4,24.4,100.0,1.5,11.2,2,Toyota
29.4,15.2,42.0,0.0,0.0,0,Toyota
32.2,21.7,54.0,0.0,7.6,1,Toyota
22.8,15.6,64.0,0.0,7.6,3,Toyota
23.9,17.9,69.0,0.0,9.4,0,Toyota
