dirt track,paved track,road course,temp,dwpt,rhum,prcp,wspd,miles_completed,Chevrolet_fieldcount,Ford_fieldcount,Toyota_fieldcount,top5_count,manufacturer
0,1,0,27.2,-4.7,12.0,0.0,5.4,510.72,17,15,11,1,Toyota
0,1,0,16.9,1.3,35.0,0.0,5.4,501.32200000000006,17,14,12,2,Toyota
0,1,0,16.6,5.2,47.0,0.5,33.5,600.0,17,15,11,1,Toyota
0,1,0,25.0,7.6,33.0,0.0,20.5,400.0,17,14,12,1,Toyota
0,1,0,13.2,-0.5,39.0,0.0,0.0,400.0,17,14,12,0,Toyota
0,1,0,22.2,5.6,34.0,0.0,13.0,400.0,17,14,12,2,Toyota
0,0,1,12.8,-0.5,40.0,0.0,14.8,218.9,18,13,12,2,Toyota
0,1,0,17.8,4.4,41.0,0.0,7.6,400.5,17,14,12,3,Toyota
0,1,0,10.0,7.8,86.0,0.0,0.0,402.5,17,15,11,2,Toyota
0,1,0,27.0,14.1,45.0,0.0,9.4,319.516,17,13,13,2,Toyota
0,1,0,23.0,4.0,29.0,0.0,0.0,316.0,17,14,12,1,Toyota
0,1,0,20.6,-2.5,21.0,0.0,22.3,400.0,18,14,11,1,Toyota
0,1,0,17.8,13.9,78.0,0.0,5.4,400.0,18,13,12,0,Toyota
0,0,1,20.0,15.6,76.0,0.0,7.6,220.50000000000003,18,12,13,2,Toyota
0,1,0,27.2,12.0,39.0,0.0,24.1,400.0,17,15,11,1,Toyota
0,1,0,23.3,18.4,74.0,0.0,18.4,266.5,18,14,11,2,Toyota
0,1,0,27.8,22.3,72.0,0.0,9.4,500.5,18,14,11,2,Toyota
0,1,0,24.4,19.9,76.0,0.0,7.6,300.0,18,14,11,0,Toyota
0,1,0,21.1,10.0,49.0,0.0,27.7,400.5,18,14,11,2,Toyota
0,1,0,17.8,15.6,87.0,0.3,5.4,317.40000000000003,18,14,11,2,Toyota
0,1,0,22.2,11.0,49.0,0.0,9.4,400.5,17,15,11,2,Toyota
0,1,0,28.0,23.9,82.0,0.0,9.4,501.0,18,14,11,2,Toyota
0,1,0,20.0,14.4,70.0,0.0,9.4,500.08,18,14,11,1,Toyota
0,1,0,16.8,4.5,44.0,0.0,7.6,263.0,18,14,11,2,Toyota
0,1,0,19.4,14.4,73.0,0.0,16.6,501.0,18,14,11,1,Toyota
0,1,0,2.8,-5.6,54.0,0.0,20.5,312.0,18,14,11,0,Toyota
0,1,0,13.9,2.2,45.0,0.0,11.2,400.5,18,14,11,4,Toyota
0,1,0,21.0,16.0,73.0,0.0,0.0,266.5,17,14,12,2,Toyota
0,1,0,15.0,13.4,90.0,0.0,0.0,400.0,17,14,12,1,Toyota
0,1,0,11.5,0.0,45.0,0.0,0.0,263.0,17,15,11,2,Toyota
